,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore,Rank,Genre,ESRB_Rating,Platform,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,url,img_url
627,The Last Remnant,9-Apr-09,,"500,000-1,000,000",Square Enix,Square Enix,0.0,0.0,66.0,3438,Role-Playing,M,X360,6.5,8.0,,0.68,0.25,0.2,0.18,0.06,2008.0,http://www.vgchartz.com/game/12261/the-last-remnant/?region=All,/games/boxart/full_647497AmericaFrontccc.jpg
628,The Last Remnant,9-Apr-09,,"500,000-1,000,000",Square Enix,Square Enix,0.0,0.0,66.0,18623,Role-Playing,M,PC,7.3,,,0.01,,0.01,,0.0,2009.0,http://www.vgchartz.com/game/24629/the-last-remnant/?region=All,/games/boxart/full_1649597AmericaFrontccc.jpg
629,The Last Remnant,9-Apr-09,,"500,000-1,000,000",Square Enix,Square Enix,0.0,0.0,66.0,48453,Role-Playing,,PS3,,,,,,,,,2019.0,http://www.vgchartz.com/game/12262/the-last-remnant/?region=All,/games/boxart/default.jpg
630,Red Faction II,6-Aug-09,9.99,"500,000-1,000,000",Volition,THQ Nordic,0.0,0.0,64.0,1472,Shooter,M,PS2,8.6,,,1.5,0.49,0.78,,0.23,2002.0,http://www.vgchartz.com/game/5627/red-faction-ii/?region=All,/games/boxart/2124343ccc.jpg
631,Red Faction II,6-Aug-09,9.99,"500,000-1,000,000",Volition,THQ Nordic,0.0,0.0,64.0,11359,Shooter,M,XB,7.9,,,0.12,0.09,0.03,,0.0,2003.0,http://www.vgchartz.com/game/1870/red-faction-ii/?region=All,/games/boxart/6172866ccc.gif
632,Red Faction II,6-Aug-09,9.99,"500,000-1,000,000",Volition,THQ Nordic,0.0,0.0,64.0,16378,Shooter,M,GC,8.1,,,0.03,0.03,0.01,,0.0,2003.0,http://www.vgchartz.com/game/5626/red-faction-ii/?region=All,/games/boxart/full_504333AmericaFrontccc.jpg
633,Red Faction II,6-Aug-09,9.99,"500,000-1,000,000",Volition,THQ Nordic,0.0,0.0,64.0,20778,Shooter,M,PC,7.2,,,0.0,,0.0,,0.0,2003.0,http://www.vgchartz.com/game/31260/red-faction-ii/?region=All,/games/boxart/full_3621366AmericaFrontccc.jpg
634,Gothic 3,2-Dec-09,9.99,"500,000-1,000,000",Piranha Bytes,THQ Nordic,0.0,0.0,63.0,4564,Role-Playing,T,PC,6.8,,0.5,,,,,,2006.0,http://www.vgchartz.com/game/26289/gothic-3/?region=All,/games/boxart/3146876ccc.jpg
635,X-Blades,30-Apr-09,9.99,"500,000-1,000,000",Gaijin Entertainment,Topware Interactive,313.0,183.0,54.0,10707,Action,M,X360,6.0,,,0.14,0.1,0.02,0.02,0.01,2009.0,http://www.vgchartz.com/game/23986/x-blades/?region=All,/games/boxart/full_4553728AmericaFrontccc.jpg
636,X-Blades,30-Apr-09,9.99,"500,000-1,000,000",Gaijin Entertainment,Topware Interactive,313.0,183.0,54.0,10849,Action,M,PS3,5.9,,,0.14,0.07,0.03,0.02,0.01,2009.0,http://www.vgchartz.com/game/23987/x-blades/?region=All,/games/boxart/full_9552426AmericaFrontccc.jpg
