game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,Rank,Genre,ESRB_Rating,Platform,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,url,img_url,metascore,userscore
Amnesia: A Machine for Pigs,10-Sep-13,19.99,"1,000,000-2,000,000",The Chinese Room,Frictional Games,0,0,22582,Adventure,,PC,,,,,,,,,2013,http://www.vgchartz.com/game/71495/amnesia-a-machine-for-pigs/?region=All,/games/boxart/full_7554803AmericaFrontccc.jpg,72,5.9
Amnesia: The Dark Descent,8-Sep-10,19.99,"2,000,000-5,000,000",Frictional Games,Frictional Games,0,0,22586,Action,M,PC,8.7,,,,,,,,2010,http://www.vgchartz.com/game/47169/amnesia-the-dark-descent/?region=All,/games/boxart/full_amnesia-the-dark-descent_482AmericaFront.jpg,85,8.6
Anarchy Online,22-Feb-17,,"50,000-100,000",Funcom,Funcom,0,0,22602,Role-Playing,,PC,,,,,,,,,2001,http://www.vgchartz.com/game/27930/anarchy-online/?region=All,/games/boxart/full_3193385AmericaFrontccc.jpg,72,7.4
Ancient Space,23-Sep-14,19.99,"50,000-100,000",CreativeForge Games,Paradox Interactive,0,0,52922,Strategy,,PC,,,,,,,,,2019,http://www.vgchartz.com/game/220486/ancient-space/?region=All,/games/boxart/default.jpg,68,7.4
And Yet It Moves,2-Apr-09,9.99,"500,000-1,000,000",Broken Rules,Broken Rules,0,0,6384,Platform,E,PC,8,,0.32,,,,,,2009,http://www.vgchartz.com/game/34072/and-yet-it-moves/?region=All,/games/boxart/full_7560185AmericaFrontccc.jpg,75,6.2
Angry Video Game Nerd Adventures,20-Sep-13,4.99,"100,000-200,000",FreakZone Games,Screenwave Media,0,0,22709,Action,,PC,,,,,,,,,2013,http://www.vgchartz.com/game/79008/angry-video-game-nerd-adventures/?region=All,/games/boxart/default.jpg,77,7.6
Animal Force,23-Nov-18,14.99,"0-20,000",ISVR,ISVR,0,0,52931,Party,,PS4,,,,,,,,,2018,http://www.vgchartz.com/game/222832/animal-force/?region=All,/games/boxart/full_8327673AmericaFrontccc.jpg,57,5.7
Anna's Quest,2-Jul-15,19.99,"200,000-500,000",Daedalic Entertainment,Daedalic Entertainment,0,0,52933,Adventure,,PC,,,,,,,,,2015,http://www.vgchartz.com/game/220360/annas-quest/?region=All,/games/boxart/default.jpg,74,6.9
Anno 2070,17-Nov-11,19.99,"500,000-1,000,000","Blue Byte, Related Designs",Ubisoft,0,0,1617,Strategy,RP,PC,8.7,,,1.4,,1.14,,0.26,2011,http://www.vgchartz.com/game/50771/anno-2070/?region=All,/games/boxart/full_anno-2070_524PALFront.jpg,83,7
Anno 2205,3-Nov-15,39.99,"200,000-500,000",Blue Byte,Ubisoft,0,0,8118,Strategy,E10,PC,,,,0.23,0.04,0.17,,0.02,2015,http://www.vgchartz.com/game/85769/anno-2205/?region=All,/games/boxart/full_9665771AmericaFrontccc.jpg,72,6
Anodyne,22-Mar-13,9.99,"100,000-200,000","Sean Han Tani, Marina Kittaka",Analgesic Productions,0,0,11562,Action-Adventure,M,PC,,,0.12,,,,,,2013,http://www.vgchartz.com/game/74783/anodyne/?region=All,/games/boxart/full_3093304AmericaFrontccc.jpg,75,6.6
Anomaly 2,15-May-13,14.99,"200,000-500,000",11 bit studios,11 bit studios,0,0,10434,Misc,,PC,,,0.15,,,,,,2013,http://www.vgchartz.com/game/77922/anomaly-2/?region=All,/games/boxart/full_8310694AmericaFrontccc.jpg,77,7.7
Anomaly 2,15-May-13,14.99,"200,000-500,000",11 bit studios,11 bit studios,0,0,22779,Misc,,PS4,,,,,,,,,2014,http://www.vgchartz.com/game/80666/anomaly-2/?region=All,/games/boxart/default.jpg,74,6.9
Anomaly: Warzone Earth,8-Apr-11,9.99,"500,000-1,000,000",11 bit studios,11 bit studios,0,0,4068,Strategy,,PC,7.9,,0.57,,,,,,2011,http://www.vgchartz.com/game/50751/anomaly-warzone-earth/?region=All,/games/boxart/full_anomaly-warzone-earth_462AmericaFront.jpg,80,7.3
Anomaly: Warzone Earth,8-Apr-11,9.99,"500,000-1,000,000",11 bit studios,11 bit studios,0,0,22785,Misc,,X360,,,,,,,,,2012,http://www.vgchartz.com/game/77916/anomaly-warzone-earth/?region=All,/games/boxart/default.jpg,79,6.1
Anomaly: Warzone Earth,8-Apr-11,9.99,"500,000-1,000,000",11 bit studios,11 bit studios,0,0,22788,Misc,,PS3,,,,,,,,,2012,http://www.vgchartz.com/game/77923/anomaly-warzone-earth/?region=All,/games/boxart/default.jpg,78,7
Antigraviator,6-Jun-18,8.49,"0-20,000",Cybernetic Walrus,Iceberg Interactive,0,0,52940,Racing,,PC,,,,,,,,,2018,http://www.vgchartz.com/game/222319/antigraviator/?region=All,/games/boxart/full_229682AmericaFrontccc.jpg,65,5.6
