,game,release_date,Platform,Genre,developer,owners,publisher,price,Rank,average_playtime,median_playtime,metascore_x,Year,metascore_y,userscore
1596,RollerCoaster Tycoon World,16-Nov-16,PC,Simulation,Nvizzio Creations,"100,000-200,000","Atari, RCTO Productions",14.99,9342,23.0,7.0,43.0,2016.0,43,2.1
1597,Deadlight: Director's Cut,21-Jun-16,PS4,Action-Adventure,"Tequila Works, Abstraction Games","100,000-200,000",Deep Silver,11.99,53396,0.0,0.0,,2016.0,70,6.6
1598,Duskers,18-May-16,PC,Misc,Misfits Attic,"50,000-100,000",Misfits Attic,19.99,53545,0.0,0.0,83.0,2019.0,83,7.1
1599,Kelvin and the Infamous Machine,21-Jul-16,PC,Adventure,Blyts,"50,000-100,000",Blyts,9.99,54027,0.0,0.0,79.0,,79,7.2
1600,The Deadly Tower of Monsters,19-Jan-16,PS4,Action,ACE Team,"50,000-100,000",SEGA,14.99,55262,0.0,0.0,73.0,2016.0,72,7
1601,The Deadly Tower of Monsters,19-Jan-16,PC,Action,ACE Team,"50,000-100,000",SEGA,14.99,55263,0.0,0.0,73.0,2016.0,73,7.7
1602,Song of the Deep,12-Jul-16,PS4,Action,Insomniac Games,"50,000-100,000",GameTrust Games,14.99,10433,0.0,0.0,71.0,2016.0,69,7.1
1603,Song of the Deep,12-Jul-16,PC,Action,Insomniac Games,"50,000-100,000",GameTrust Games,14.99,13744,0.0,0.0,71.0,2016.0,71,6.8
1604,Unbox: Newbie's Adventure,5-Sep-16,PS4,Action,Prospect Games,"50,000-100,000","Prospect Games, Merge Games",19.99,15829,0.0,0.0,68.0,2017.0,63,tbd
1605,Ride 2,7-Oct-16,PS4,Racing,Milestone S.r.l.,"50,000-100,000",Milestone S.r.l.,39.99,9820,0.0,0.0,67.0,2017.0,69,6.3
1606,Ride 2,7-Oct-16,PC,Racing,Milestone S.r.l.,"50,000-100,000",Milestone S.r.l.,39.99,17625,0.0,0.0,67.0,2016.0,67,7.6
1607,Small Radios Big Televisions,8-Nov-16,PC,Adventure,Fire Face Corporation,"50,000-100,000",Adult Swim Games,11.99,45218,0.0,0.0,67.0,2015.0,67,4.6
1608,Scrap Garden,6-May-16,PC,Platform,"Egidijus Bachur, Alexey Davydov","50,000-100,000",Flazm,9.99,54832,0.0,0.0,58.0,2016.0,58,tbd
1609,Ghost 1.0,7-Jun-16,PC,Misc,#NAME?,"50,000-100,000",#NAME?,12.99,53767,80.0,40.0,,2016.0,80,7.5
1610,Megadimension Neptunia VII,5-Jul-16,PS4,Role-Playing,"Idea Factory, Compile Heart","50,000-100,000",Idea Factory International,29.99,15567,0.0,0.0,,2016.0,71,7.2
1611,Quadrilateral Cowboy,25-Jul-16,PC,Puzzle,Blendo Games,"20,000-50,000",Blendo Games,19.99,42078,0.0,0.0,81.0,2015.0,81,7.3
1612,Nelly Cootalot: The Fowl Fleet,22-Mar-16,PC,Adventure,"Alasdair Beckett-King, Application Systems Heidelberg","20,000-50,000",Application Systems Heidelberg,19.99,54355,0.0,0.0,81.0,,81,7.7
1613,Everybody's Gone to the Rapture,14-Apr-16,PS4,Adventure,The Chinese Room,"20,000-50,000","PlayStation Mobile, Inc.",19.99,30130,0.0,0.0,76.0,2015.0,78,6.5
1614,The Aquatic Adventure of the Last Human,19-Jan-16,PC,Action-Adventure,YCJY Games,"20,000-50,000",YCJY Games,9.99,55232,0.0,0.0,76.0,2016.0,76,6.5
1615,Shardlight,8-Mar-16,PC,Adventure,Wadjet Eye Games,"20,000-50,000",Wadjet Eye Games,14.99,54899,0.0,0.0,75.0,2016.0,75,6.5
1616,Yesterday Origins,10-Nov-16,PC,Adventure,Pendulo Studios,"20,000-50,000",Microids,14.99,55753,0.0,0.0,74.0,2016.0,74,7.3
1617,Corpse Party,25-Apr-16,PSP,Adventure,GrisGris,"20,000-50,000","XSEED Games, Marvelous USA, Inc.",14.99,15186,0.0,0.0,71.0,2011.0,71,8.5
1618,Cobalt,2-Feb-16,PC,Action,Oxeye Game Studio,"20,000-50,000",Mojang,14.99,26715,0.0,0.0,69.0,2016.0,69,6.8
1619,99Vidas,22-Dec-16,PS4,Action,QUByte Interactive,"20,000-50,000",QUByte Interactive,12.99,52620,0.0,0.0,69.0,2018.0,61,6.5
1620,The Silver Case,6-Oct-16,PS4,Visual Novel,"GRASSHOPPER MANUFACTURE INC., AGM PLAYISM","20,000-50,000",GRASSHOPPER MANUFACTURE INC.,19.99,13806,0.0,0.0,64.0,2017.0,64,6.9
1621,The Silver Case,6-Oct-16,PC,Visual Novel,"GRASSHOPPER MANUFACTURE INC., AGM PLAYISM","20,000-50,000",GRASSHOPPER MANUFACTURE INC.,19.99,55375,0.0,0.0,64.0,2016.0,64,7.6
1622,The Town of Light,26-Feb-16,PS4,Adventure,LKA,"20,000-50,000","LKA, Wired Productions",18.99,17076,0.0,0.0,64.0,2017.0,67,6.1
1623,The Town of Light,26-Feb-16,PC,Adventure,LKA,"20,000-50,000","LKA, Wired Productions",18.99,48927,0.0,0.0,64.0,2017.0,64,6.9
1624,Nitroplus Blasterz: Heroines Infinite Duel,8-Dec-16,PS4,Fighting,EXAMU,"20,000-50,000","XSEED Games, Marvelous USA, Inc., Marvelous",19.99,15031,0.0,0.0,63.0,2016.0,70,6.8
1625,The Little Acre,13-Dec-16,PC,Adventure,Pewter Games Studios,"20,000-50,000",Curve Digital,12.99,55326,0.0,0.0,62.0,,62,6.5
1626,The Little Acre,13-Dec-16,PS4,Adventure,Pewter Games Studios,"20,000-50,000",Curve Digital,12.99,55329,0.0,0.0,62.0,,67,6.9
1627,Into the Stars,4-Mar-16,PC,Simulation,Fugitive Games,"20,000-50,000",Iceberg Interactive,19.99,34317,0.0,0.0,61.0,2020.0,61,3.1
1628,The Great Escape,11-Jan-16,PS2,Action,XiNFiNiTY Games,"20,000-50,000",OtakuMaker SARL,3.99,8928,0.0,0.0,54.0,2003.0,57,8
1629,The Great Escape,13-Apr-18,PS2,Action,Ocean Software,"0-20,000","Classics Digital, Piko Interactive",3.99,8928,0.0,0.0,54.0,2003.0,57,8
1630,Code of Princess,14-Apr-16,3DS,Action-Adventure,Studio Saizensen,"20,000-50,000",Degica,14.99,8686,0.0,0.0,53.0,2012.0,67,7.4
1631,Alekhine's Gun,11-Mar-16,PS4,Action,Maximum Games,"20,000-50,000","Maximum Games, KISS ltd",39.99,22276,0.0,0.0,40.0,2016.0,36,3.8
1632,Alekhine's Gun,11-Mar-16,PC,Action,Maximum Games,"20,000-50,000","Maximum Games, KISS ltd",39.99,22277,0.0,0.0,40.0,2016.0,40,4.7
1633,Onechanbara Z2: Chaos,2-Jun-16,PS4,Action,Tamsoft,"20,000-50,000",D3 PUBLISHER,39.99,7122,0.0,0.0,,2015.0,57,6.9
1634,Pang Adventures,18-Apr-16,PS4,Action,DotEmu,"20,000-50,000",DotEmu,9.99,54519,0.0,0.0,,,63,6.2
1635,DoDonPachi Resurrection,13-Oct-16,X360,Shooter,"CAVE Interactive CO.,LTD.","20,000-50,000",Degica,29.99,15063,0.0,0.0,,2011.0,77,8.4
1636,Just Dance 2017,27-Oct-16,PS4,Misc,"Ubisoft Paris, Ubisoft Pune","20,000-50,000",Ubisoft,49.99,7863,0.0,0.0,,2016.0,73,6.7
1637,Conception II: Children of the Seven Stars,15-Aug-16,3DS,Role-Playing,"Spike Chunsoft Co., Ltd.","20,000-50,000","Spike Chunsoft Co., Ltd.",19.99,11313,0.0,0.0,,2014.0,62,7.8
1638,Way of the Samurai 3,23-Mar-16,PS3,Action,ACQUIRE Corp.,"20,000-50,000",Ghostlight LTD,19.99,4437,0.0,0.0,,2009.0,58,7.6
1639,Way of the Samurai 3,23-Mar-16,X360,Action,ACQUIRE Corp.,"20,000-50,000",Ghostlight LTD,19.99,8602,0.0,0.0,,2009.0,55,7
1645,Xanadu Next,3-Nov-16,PC,Role-Playing,Nihon Falcom,"0-20,000","XSEED Games, Marvelous USA, Inc.",14.99,51962,0.0,0.0,78.0,2005.0,78,7.5
1646,Lumo,24-May-16,PS4,Puzzle,Triple Eh? Ltd,"0-20,000",Rising Star Games,19.99,16111,0.0,0.0,77.0,2016.0,73,6
1647,Lumo,24-May-16,PC,Puzzle,Triple Eh? Ltd,"0-20,000",Rising Star Games,19.99,54163,0.0,0.0,77.0,2016.0,77,6
1648,Eagle Flight,20-Dec-16,PS4,Adventure,Ubisoft Montreal Studio,"0-20,000",Ubisoft,19.99,8735,0.0,0.0,74.0,2016.0,73,7.1
1649,Little King's Story,5-Aug-16,PC,Adventure,"Marvelous, Inc.","0-20,000","XSEED Games, Marvelous USA, Inc., Marvelous",14.99,54135,0.0,0.0,62.0,2016.0,62,7.3
1650,N.E.R.O.: Nothing Ever Remains Obscure,29-Apr-16,PS4,Adventure,Storm in a Teacup,"0-20,000",Storm in a Teacup,14.99,54336,0.0,0.0,59.0,2018.0,59,6.5
1651,The Assembly,19-Jul-16,PC,Adventure,nDreams,"0-20,000",nDreams,29.99,47950,0.0,0.0,55.0,2016.0,55,6
1652,The Assembly,19-Jul-16,PS4,Adventure,nDreams,"0-20,000",nDreams,29.99,47951,0.0,0.0,55.0,2016.0,53,5.5
1653,Super Dungeon Bros,1-Nov-16,PS4,Action,React Games,"0-20,000","Wired Productions, THQ Nordic",19.99,16709,0.0,0.0,,2016.0,43,1.9
1654,Mugen Souls Z,25-Aug-16,PS3,Role-Playing,Idea Factory,"0-20,000",Ghostlight LTD,19.99,13869,0.0,0.0,,2014.0,57,6.3
1655,Dragon Rage,22-Jul-16,PS2,Shooter,Bulletproof Outlaws,"0-20,000",Bulletproof Outlaws,6.99,14582,0.0,0.0,,2001.0,50,6.3
1659,Assault Suit Leynos,30-Aug-16,PS4,Shooter,Dracue Software,"0-20,000",Rising Star Games,19.99,15459,0.0,0.0,,2016.0,67,6.7
1660,Aegis of Earth: Protonovus Assault,18-Jul-16,PS4,Action,Acquire,"0-20,000",Aksys Games,19.99,16001,0.0,0.0,,2016.0,57,6.4
1661,Werewolves Within,6-Dec-16,PS4,Misc,Ubisoft,"0-20,000",Ubisoft,19.99,15065,0.0,0.0,,2016.0,76,7.3
1662,Black Desert Online,24-May-17,PC,MMO,Pearl Abyss,"5,000,000-10,000,000",Kakao Games Europe B.V.,9.99,53106,473.0,157.0,73.0,2016.0,73,7
1663,ARK: Survival Evolved,27-Aug-17,PC,Action-Adventure,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","5,000,000-10,000,000",Studio Wildcard,49.99,304,620.0,451.0,70.0,2015.0,70,4.9
1664,ARK: Survival Evolved,27-Aug-17,PS4,Action,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","5,000,000-10,000,000",Studio Wildcard,49.99,2396,620.0,451.0,70.0,2017.0,69,4.2
1667,The Elder Scrolls Online,22-May-17,PC,MMO,Zenimax Online Studios,"2,000,000-5,000,000",Bethesda Softworks,19.99,2360,528.0,350.0,,2014.0,71,5.8
1668,Cuphead,29-Sep-17,PC,Action,Studio MDHR Entertainment Inc.,"1,000,000-2,000,000",Studio MDHR Entertainment Inc.,19.99,1211,32.0,14.0,88.0,2017.0,88,8.3
1669,NBA 2K18,14-Sep-17,PS4,Sports,Visual Concepts,"1,000,000-2,000,000",2K,59.99,485,77.0,25.0,87.0,2017.0,80,1.6
1670,Hollow Knight,24-Feb-17,PC,Action-Adventure,Team Cherry,"1,000,000-2,000,000",Team Cherry,14.99,2430,685.0,1177.0,87.0,2017.0,87,8.8
1672,Slime Rancher,1-Aug-17,PC,Simulation,Monomi Park,"1,000,000-2,000,000",Monomi Park,9.99,1906,217.0,211.0,81.0,2017.0,81,7.7
1673,Sniper Elite 4,13-Feb-17,PS4,Shooter,Rebellion,"1,000,000-2,000,000",Rebellion,59.99,4196,101.0,114.0,78.0,2017.0,77,6.8
1674,Sniper Elite 4,13-Feb-17,PC,Shooter,Rebellion,"1,000,000-2,000,000",Rebellion,59.99,45277,101.0,114.0,78.0,2017.0,78,7
1675,Friday the 13th: The Game,25-May-17,PC,Action,IllFonic,"1,000,000-2,000,000",Gun Media,19.99,3688,215.0,159.0,61.0,2011.0,61,5.8
1676,Friday the 13th: The Game,25-May-17,PS4,Action,IllFonic,"1,000,000-2,000,000",Gun Media,19.99,4735,215.0,159.0,61.0,2017.0,61,6.2
1677,Endless Space 2,18-May-17,PC,Strategy,AMPLITUDE Studios,"1,000,000-2,000,000",SEGA,39.99,53573,0.0,0.0,,2017.0,80,7.7
1679,The Long Dark,1-Aug-17,PC,Simulation,Hinterland Studio Inc.,"1,000,000-2,000,000",Hinterland Studio Inc.,29.99,1101,116.0,38.0,,2017.0,77,8.2
1680,The Long Dark,1-Aug-17,PS4,Simulation,Hinterland Studio Inc.,"1,000,000-2,000,000",Hinterland Studio Inc.,29.99,15043,116.0,38.0,,2018.0,75,7.1
1681,Assassin's Creed Origins,26-Oct-17,PS4,Action,Ubisoft Montreal,"1,000,000-2,000,000",Ubisoft,59.99,362,624.0,415.0,,2017.0,81,7.2
1682,Assassin's Creed Origins,26-Oct-17,PC,Action,Ubisoft Montreal,"1,000,000-2,000,000",Ubisoft,59.99,2332,624.0,415.0,,2017.0,84,6.7
1683,Bayonetta,11-Apr-17,PS3,Action,PlatinumGames,"500,000-1,000,000",SEGA,19.99,1916,25.0,8.0,90.0,2010.0,87,7.7
1684,Bayonetta,11-Apr-17,X360,Action,PlatinumGames,"500,000-1,000,000",SEGA,19.99,2602,25.0,8.0,90.0,2010.0,90,8.1
1685,Bayonetta,11-Apr-17,PC,Action,PlatinumGames,"500,000-1,000,000",SEGA,19.99,5234,25.0,8.0,90.0,2017.0,90,8.2
1686,Wolfenstein II: The New Colossus,26-Oct-17,PS4,Shooter,Machine Games,"500,000-1,000,000",Bethesda Softworks,59.99,1676,471.0,157.0,86.0,2017.0,87,7.5
1687,Wolfenstein II: The New Colossus,26-Oct-17,PC,Shooter,Machine Games,"500,000-1,000,000",Bethesda Softworks,59.99,4215,471.0,157.0,86.0,2017.0,86,6.7
1688,Hellblade: Senua's Sacrifice,7-Aug-17,PC,Action-Adventure,Ninja Theory,"500,000-1,000,000",Ninja Theory,29.99,5260,75.0,25.0,83.0,2017.0,83,8.2
1689,Hellblade: Senua's Sacrifice,7-Aug-17,PS4,Action-Adventure,Ninja Theory,"500,000-1,000,000",Ninja Theory,29.99,14985,75.0,25.0,83.0,2018.0,81,8.2
1690,Detention,12-Jan-17,PC,Adventure,RedCandleGames,"500,000-1,000,000","RedCandleGames, AGM PLAYISM",11.99,7797,0.0,0.0,83.0,2017.0,83,7.7
1691,Little Nightmares,27-Apr-17,PS4,Platform,Tarsier Studios,"500,000-1,000,000",BANDAI NAMCO Entertainment,19.99,5662,366.0,122.0,81.0,2017.0,78,7.9
1692,Little Nightmares,27-Apr-17,PC,Platform,Tarsier Studios,"500,000-1,000,000",BANDAI NAMCO Entertainment,19.99,7083,366.0,122.0,81.0,2017.0,81,8.2
1693,"Warhammer 40,000: Dawn of War III",27-Apr-17,PC,Strategy,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","500,000-1,000,000","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",9.99,16059,0.0,0.0,77.0,2017.0,77,4.5
1694,The Escapists 2,21-Aug-17,PC,Action,"Team17 Digital Ltd, Mouldy Toof Studios","500,000-1,000,000",Team17 Digital Ltd,19.99,4653,519.0,345.0,75.0,2017.0,75,8
1695,The Escapists 2,21-Aug-17,PS4,Action,"Team17 Digital Ltd, Mouldy Toof Studios","500,000-1,000,000",Team17 Digital Ltd,19.99,7874,519.0,345.0,75.0,2017.0,76,7
1696,Portal Knights,18-May-17,PS4,Role-Playing,Keen Games,"500,000-1,000,000",505 Games,19.99,11376,29.0,9.0,72.0,2017.0,71,6.7
1697,Prey,4-May-17,X360,Shooter,Arkane Studios,"500,000-1,000,000",Bethesda Softworks,29.99,6467,1035.0,915.0,,2006.0,79,7.4
1698,Prey,4-May-17,PC,Shooter,Arkane Studios,"500,000-1,000,000",Bethesda Softworks,29.99,15834,1035.0,915.0,,2006.0,82,8
1699,LEGO Worlds,7-Mar-17,PS4,Misc,"TT Games, Traveller's Tales","500,000-1,000,000",Warner Bros. Interactive Entertainment,29.99,2074,0.0,0.0,,2017.0,66,6.6
1700,LEGO Worlds,7-Mar-17,PC,Misc,"TT Games, Traveller's Tales","500,000-1,000,000",Warner Bros. Interactive Entertainment,29.99,3159,0.0,0.0,,2015.0,71,6.3
1701,theHunter: Call of the Wild,16-Feb-17,PC,Shooter,Expansive Worlds,"500,000-1,000,000",Avalanche Studios,19.99,2927,1463.0,941.0,,2017.0,64,7.5
1702,Call of Duty: WWII,2-Nov-17,PS4,Shooter,"Sledgehammer Games, Raven Software","500,000-1,000,000",Activision,59.99,51,124.0,41.0,,2017.0,79,4.2
1703,Call of Duty: WWII,2-Nov-17,PC,Shooter,"Sledgehammer Games, Raven Software","500,000-1,000,000",Activision,59.99,9037,124.0,41.0,,2017.0,73,3.3
1704,Kingdoms and Castles,20-Jul-17,PC,Simulation,"Lion Shield, LLC","500,000-1,000,000","Lion Shield, LLC",9.99,4098,152.0,50.0,,2003.0,72,7.1
1706,F1 2017,24-Aug-17,PS4,Racing,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","200,000-500,000","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)",59.99,3742,1.0,0.0,89.0,2017.0,86,7.8
1707,F1 2017,24-Aug-17,PC,Racing,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","200,000-500,000","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)",59.99,17325,1.0,0.0,89.0,2017.0,89,7.5
1708,What Remains of Edith Finch,24-Apr-17,PC,Adventure,Giant Sparrow,"200,000-500,000",Annapurna Interactive,19.99,9263,5.0,1.0,89.0,2002.0,89,8.2
1709,What Remains of Edith Finch,24-Apr-17,PS4,Adventure,Giant Sparrow,"200,000-500,000",Annapurna Interactive,19.99,51169,5.0,1.0,89.0,2017.0,88,8.1
1710,Night in the Woods,21-Feb-17,PC,Adventure,Infinite Fall,"200,000-500,000",Finji,19.99,8393,0.0,0.0,88.0,2017.0,88,7.7
1711,Night in the Woods,21-Feb-17,PS4,Adventure,Infinite Fall,"200,000-500,000",Finji,19.99,39441,0.0,0.0,88.0,2017.0,87,7.2
1712,West of Loathing,10-Aug-17,PC,Role-Playing,Asymmetric,"200,000-500,000",Asymmetric,10.99,9875,0.0,0.0,87.0,1995.0,86,7.7
1713,Injustice 2,30-Nov-17,PS4,Fighting,"NetherRealm Studios, QLOC","200,000-500,000",WB Games,49.99,1228,35.0,23.0,86.0,2017.0,87,8.1
1714,Injustice 2,30-Nov-17,PC,Fighting,"NetherRealm Studios, QLOC","200,000-500,000",WB Games,49.99,53947,35.0,23.0,86.0,2016.0,86,7.7
1715,Project CARS 2,21-Sep-17,PS4,Racing,Slightly Mad Studios,"200,000-500,000",BANDAI NAMCO Entertainment,59.99,4237,91.0,94.0,84.0,2017.0,82,6.1
1716,Project CARS 2,21-Sep-17,PC,Racing,Slightly Mad Studios,"200,000-500,000",BANDAI NAMCO Entertainment,59.99,7384,91.0,94.0,84.0,2017.0,84,7
1717,Thimbleweed Park,30-Mar-17,PC,Adventure,Terrible Toybox,"200,000-500,000",Terrible Toybox,19.99,49068,0.0,0.0,84.0,2017.0,84,8.1
1718,Sonic Mania,29-Aug-17,PS4,Platform,"Christian Whitehead, Headcannon, PagodaWest Games","200,000-500,000",SEGA,19.99,6621,9.0,3.0,84.0,2017.0,86,8.4
1719,Steel Division: Normandy 44,23-May-17,PC,Strategy,Eugen Systems,"200,000-500,000",Paradox Interactive,39.99,8311,142.0,47.0,83.0,2010.0,83,7.6
1720,SUPERHOT VR,25-May-17,PC,Shooter,SUPERHOT Team,"200,000-500,000",SUPERHOT Team,24.99,10016,0.0,0.0,83.0,2017.0,85,6.8
1721,SUPERHOT VR,25-May-17,PS4,Shooter,SUPERHOT Team,"200,000-500,000",SUPERHOT Team,24.99,55165,0.0,0.0,83.0,2017.0,75,7.2
1722,Pyre,25-Jul-17,PC,Role-Playing,Supergiant Games,"200,000-500,000",Supergiant Games,19.99,9622,0.0,0.0,82.0,2014.0,82,7.7
1723,Pyre,25-Jul-17,PS4,Role-Playing,Supergiant Games,"200,000-500,000",Supergiant Games,19.99,54660,0.0,0.0,82.0,2017.0,85,7.9
1724,Dishonored: Death of the Outsider,14-Sep-17,PS4,Action,Arkane Studios,"200,000-500,000",Bethesda Softworks,29.99,6236,0.0,0.0,81.0,2017.0,82,7.1
1725,Dishonored: Death of the Outsider,14-Sep-17,PC,Action,Arkane Studios,"200,000-500,000",Bethesda Softworks,29.99,9746,0.0,0.0,81.0,2017.0,81,7.1
1726,Finding Paradise,14-Dec-17,PC,Adventure,Freebird Games,"200,000-500,000",Freebird Games,9.99,53668,1.0,0.0,81.0,2017.0,81,8.3
1727,Battle Brothers,24-Mar-17,PC,Role-Playing,Overhype Studios,"200,000-500,000",Overhype Studios,29.99,53061,2464.0,821.0,80.0,2018.0,80,7.6
1728,Tooth and Tail,12-Sep-17,PC,Strategy,Pocketwatch Games,"200,000-500,000",Pocketwatch Games,19.99,49539,0.0,0.0,80.0,2017.0,80,7.5
1729,Tales of Berseria,26-Jan-17,PS4,Role-Playing,BANDAI NAMCO Studios Inc.,"200,000-500,000",BANDAI NAMCO Entertainment,49.99,3601,0.0,0.0,80.0,2017.0,79,7.5
1730,Tales of Berseria,26-Jan-17,PC,Role-Playing,BANDAI NAMCO Studios Inc.,"200,000-500,000",BANDAI NAMCO Entertainment,49.99,6997,0.0,0.0,80.0,2018.0,80,7
1731,Darkwood,17-Aug-17,PC,Misc,Acid Wizard Studio,"200,000-500,000",Acid Wizard Studio,14.99,9613,0.0,0.0,80.0,2014.0,80,8.5
1732,Hand of Fate 2,7-Nov-17,PC,Role-Playing,Defiant Development,"200,000-500,000",Defiant Development,29.99,53847,0.0,0.0,80.0,,80,7.1
1733,The Evil Within 2,12-Oct-17,PS4,Action,Tango Gameworks,"200,000-500,000",Bethesda Softworks,59.99,2288,0.0,0.0,80.0,2017.0,76,8.7
1734,The Evil Within 2,12-Oct-17,PC,Action,Tango Gameworks,"200,000-500,000",Bethesda Softworks,59.99,8167,0.0,0.0,80.0,2017.0,80,8.9
1735,Late Shift,18-Apr-17,PS4,Adventure,CtrlMovie,"200,000-500,000",Wales Interactive,12.99,54097,0.0,0.0,79.0,,59,6.9
1736,A Hat in Time,5-Oct-17,PC,Platform,Gears for Breakfast,"200,000-500,000",Gears for Breakfast,29.99,9152,147.0,49.0,79.0,2017.0,79,8.4
1737,A Hat in Time,5-Oct-17,PS4,Platform,Gears for Breakfast,"200,000-500,000",Gears for Breakfast,29.99,52626,147.0,49.0,79.0,2017.0,79,7.7
1738,DiRT 4,9-Jun-17,PS4,Racing,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","200,000-500,000","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)",59.99,4678,0.0,0.0,78.0,2017.0,85,7.5
1739,DiRT 4,9-Jun-17,PC,Racing,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","200,000-500,000","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)",59.99,18727,0.0,0.0,78.0,2017.0,78,5.8
1740,RiME,26-May-17,PS4,Adventure,"Tequila Works, QLOC","200,000-500,000","Grey Box, Six Foot",29.99,11919,0.0,0.0,78.0,2017.0,80,7.7
1741,RiME,26-May-17,PC,Adventure,"Tequila Works, QLOC","200,000-500,000","Grey Box, Six Foot",29.99,54747,0.0,0.0,78.0,2017.0,78,7
1742,Battle Chasers: Nightwar,3-Oct-17,PC,Role-Playing,Airship Syndicate,"200,000-500,000",THQ Nordic,29.99,10461,135.0,45.0,78.0,2017.0,79,7.6
1743,Battle Chasers: Nightwar,3-Oct-17,PS4,Role-Playing,Airship Syndicate,"200,000-500,000",THQ Nordic,29.99,14754,135.0,45.0,78.0,2017.0,75,6.6
1744,Vanquish,25-May-17,PS3,Shooter,"PlatinumGames, Little Stone Software","200,000-500,000",SEGA,19.99,3776,0.0,0.0,78.0,2010.0,84,9
1745,Vanquish,25-May-17,X360,Shooter,"PlatinumGames, Little Stone Software","200,000-500,000",SEGA,19.99,5331,0.0,0.0,78.0,2010.0,84,9.2
1746,Vanquish,25-May-17,PC,Shooter,"PlatinumGames, Little Stone Software","200,000-500,000",SEGA,19.99,10562,0.0,0.0,78.0,2017.0,78,9
1747,Vanquish,25-May-17,PC,Adventure,"PlatinumGames, Little Stone Software","200,000-500,000",SEGA,19.99,50577,0.0,0.0,78.0,2004.0,78,9
1748,Fallout 4 VR,11-Dec-17,PC,Role-Playing,Bethesda Game Studios,"200,000-500,000",Bethesda Softworks,59.99,10919,0.0,0.0,78.0,2017.0,78,5.1
1749,Bridge Constructor Portal,20-Dec-17,PC,Puzzle,ClockStone,"200,000-500,000","Headup, Whisper Games",9.99,10118,0.0,0.0,77.0,2002.0,77,6.3
1750,Bridge Constructor Portal,20-Dec-17,PS4,Simulation,ClockStone,"200,000-500,000","Headup, Whisper Games",9.99,16992,0.0,0.0,77.0,2018.0,78,3.7
1751,Bomber Crew,19-Oct-17,PC,Simulation,Runner Duck,"200,000-500,000",Curve Digital,14.99,9354,0.0,0.0,75.0,2017.0,75,7.1
1752,Dungeons 3,13-Oct-17,PC,Strategy,Realmforge Studios,"200,000-500,000",Kalypso Media Digital,39.99,11140,0.0,0.0,75.0,2017.0,75,7.7
1753,Absolver,29-Aug-17,PS4,Role-Playing,Sloclap,"200,000-500,000",Devolver Digital,29.99,52644,0.0,0.0,75.0,,69,5.8
1754,Dead Rising 4,14-Mar-17,PC,Action-Adventure,"Capcom Game Studio Vancouver, Inc.","200,000-500,000",Capcom,29.99,10357,0.0,0.0,74.0,2016.0,74,3.7
1755,Yooka-Laylee,11-Apr-17,PS4,Platform,Playtonic Games,"200,000-500,000",Team17 Digital Ltd,39.99,6834,0.0,0.0,73.0,2018.0,68,6.1
1756,Yooka-Laylee,11-Apr-17,PC,Platform,Playtonic Games,"200,000-500,000",Team17 Digital Ltd,39.99,10077,0.0,0.0,73.0,2018.0,73,6.5
1757,The Surge,15-May-17,PS4,Action,Deck13,"200,000-500,000",Focus Home Interactive,29.99,9189,0.0,0.0,72.0,2017.0,73,7
1758,The Surge,15-May-17,PC,Action,Deck13,"200,000-500,000",Focus Home Interactive,29.99,9908,0.0,0.0,72.0,2017.0,72,6.9
1759,Dream Daddy: A Dad Dating Simulator,20-Jul-17,PC,Simulation,Game Grumps,"200,000-500,000",Game Grumps,14.99,6637,0.0,0.0,72.0,2009.0,72,7.7
1760,Styx: Shards of Darkness,14-Mar-17,PC,Action,Cyanide Studio,"200,000-500,000",Focus Home Interactive,39.99,10600,0.0,0.0,72.0,2017.0,72,7.6
1761,Styx: Shards of Darkness,14-Mar-17,PS4,Action,Cyanide Studio,"200,000-500,000",Focus Home Interactive,39.99,13757,0.0,0.0,72.0,2017.0,72,7
1762,Dreamfall Chapters,21-Jul-17,PC,Misc,Red Thread Games,"200,000-500,000",Red Thread Games,24.99,9175,0.0,0.0,71.0,2014.0,71,7.7
1763,911 Operator,24-Feb-17,PC,Simulation,Jutsu Games,"200,000-500,000","Games Operators, PlayWay S.A.",2.99,8363,275.0,91.0,68.0,2000.0,68,7.6
1764,WWE 2K18,17-Oct-17,PS4,Sports,"Visual Concepts, Yuke's Co., LTD","200,000-500,000",2K,59.99,1718,0.0,0.0,64.0,2017.0,66,5.6
1765,Dear Esther: Landmark Edition,14-Feb-17,PS4,Adventure,"The Chinese Room, Robert Briscoe","200,000-500,000",Curve Digital,9.99,28009,49.0,16.0,,2016.0,68,6.7
