,game,release_date,Platform,Genre,developer,owners,publisher,price,Rank,average_playtime,median_playtime,metascore_x,Year,metascore_y,userscore
109,Hitman: Blood Money,15-Mar-07,X360,Action,Io-Interactive A/S,"1,000,000-2,000,000",Io-Interactive A/S,9.99,5645,0.0,0.0,82.0,2006.0,82,8.7
110,Hitman: Blood Money,15-Mar-07,PC,Action,Io-Interactive A/S,"1,000,000-2,000,000",Io-Interactive A/S,9.99,16446,0.0,0.0,82.0,2006.0,82,8.8
111,Tomb Raider: Legend,29-Mar-07,PS2,Action,Crystal Dynamics,"1,000,000-2,000,000",Square Enix,6.99,4430,0.0,0.0,82.0,2006.0,82,7.3
112,Tomb Raider: Legend,29-Mar-07,PSP,Action,Crystal Dynamics,"1,000,000-2,000,000",Square Enix,6.99,4875,0.0,0.0,82.0,2006.0,67,7.9
113,Tomb Raider: Legend,29-Mar-07,X360,Action,Crystal Dynamics,"1,000,000-2,000,000",Square Enix,6.99,5855,0.0,0.0,82.0,2006.0,80,7.4
114,Tomb Raider: Legend,29-Mar-07,DS,Adventure,Crystal Dynamics,"1,000,000-2,000,000",Square Enix,6.99,13927,0.0,0.0,82.0,2006.0,58,8.3
115,Tomb Raider: Legend,29-Mar-07,PC,Action,Crystal Dynamics,"1,000,000-2,000,000",Square Enix,6.99,18226,0.0,0.0,82.0,2006.0,82,7.9
116,S.T.A.L.K.E.R.: Shadow of Chernobyl,20-Mar-07,PC,Shooter,GSC Game World,"1,000,000-2,000,000",GSC Game World,19.99,14759,1463.0,487.0,82.0,2007.0,82,8.5
117,Deus Ex: Invisible War,29-Mar-07,PC,Shooter,Ion Storm,"1,000,000-2,000,000",Square Enix,6.99,20763,0.0,0.0,80.0,2003.0,80,6.4
118,Just Cause,15-Mar-07,X360,Action,Avalanche Studios,"1,000,000-2,000,000",Square Enix,6.99,10715,92.0,30.0,75.0,2006.0,73,7.2
119,Just Cause,15-Mar-07,PC,Action,Avalanche Studios,"1,000,000-2,000,000",Square Enix,6.99,18291,92.0,30.0,75.0,2006.0,75,7.2
120,Just Cause,15-Mar-07,PS2,Action,Avalanche Studios,"1,000,000-2,000,000",Square Enix,6.99,18456,92.0,30.0,75.0,2006.0,67,7.9
121,Hitman: Codename 47,15-Mar-07,PC,Action,IO Interactive A/S,"1,000,000-2,000,000",IO Interactive A/S,7.99,33608,0.0,0.0,73.0,2000.0,73,7.5
122,Thief: Deadly Shadows,29-Mar-07,PC,Misc,Ion Storm,"500,000-1,000,000",Square Enix,8.99,20326,0.0,0.0,85.0,2005.0,85,8.3
123,Vampire: The Masquerade - Bloodlines,22-Mar-07,PC,Role-Playing,Troika Games,"500,000-1,000,000",Activision,19.99,50544,0.0,0.0,80.0,2004.0,80,8.9
124,Shadowgrounds Survivor,14-Nov-07,PC,Shooter,Frozenbyte,"500,000-1,000,000",Frozenbyte,1.49,44221,0.0,0.0,79.0,2007.0,79,7.6
125,The Longest Journey,1-May-07,PC,Adventure,Funcom,"200,000-500,000",Funcom,9.99,18312,0.0,0.0,91.0,2000.0,91,8.8
126,Return to Castle Wolfenstein,3-Aug-07,PC,Shooter,Gray Matter Studios,"200,000-500,000",Bethesda-Softworks,4.99,2419,0.0,0.0,88.0,2001.0,88,8.7
127,Medieval II: Total War Kingdoms,28-Aug-07,PC,Strategy,"The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","200,000-500,000","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",24.99,9510,0.0,0.0,85.0,2007.0,85,8.8
128,Jade Empire: Special Edition,27-Feb-07,PC,Role-Playing,BioWare Corporation,"200,000-500,000","BioWare Corporation, Electronic Arts",14.99,19900,0.0,0.0,81.0,2007.0,81,8.2
129,Battlestations: Midway,15-Mar-07,X360,Strategy,Eidos Interactive,"200,000-500,000",Square Enix,6.99,7462,0.0,0.0,76.0,2007.0,73,7.1
130,Battlestations: Midway,15-Mar-07,PC,Strategy,Eidos Interactive,"200,000-500,000",Square Enix,6.99,18939,0.0,0.0,76.0,2007.0,76,7.3
131,FlatOut,2-Feb-07,PS2,Racing,Bugbear Entertainment,"200,000-500,000",Strategy First,7.49,5710,0.0,0.0,72.0,2005.0,70,8.1
132,FlatOut,2-Feb-07,PC,Racing,Bugbear Entertainment,"200,000-500,000",Strategy First,7.49,20998,0.0,0.0,72.0,2005.0,72,7.7
133,UFO: Afterlight,8-Feb-07,PC,Strategy,Altar Games,"200,000-500,000",Bohemia Interactive,6.99,21182,0.0,0.0,71.0,2007.0,71,7.6
134,Lost Planet: Extreme Condition,26-Jun-07,X360,Shooter,"CAPCOM Co., Ltd.","200,000-500,000",Capcom,14.99,1357,0.0,0.0,66.0,2007.0,79,7.1
135,Lost Planet: Extreme Condition,26-Jun-07,PS3,Shooter,"CAPCOM Co., Ltd.","200,000-500,000",Capcom,14.99,3651,0.0,0.0,66.0,2008.0,67,6.9
136,Lost Planet: Extreme Condition,26-Jun-07,PC,Shooter,"CAPCOM Co., Ltd.","200,000-500,000",Capcom,14.99,20718,0.0,0.0,66.0,2007.0,66,7.2
137,Bus Driver,22-Mar-07,PC,Simulation,SCS Software,"200,000-500,000",SCS Software,7.99,19630,0.0,0.0,61.0,2008.0,61,7.1
138,Alpha Prime,7-Nov-07,PC,Shooter,Black Element,"200,000-500,000",Bohemia Interactive,4.99,20466,0.0,0.0,59.0,2007.0,59,6
139,Quake III Arena,3-Aug-07,DC,Shooter,id Software,"200,000-500,000",id Software,14.99,42092,0.0,0.0,,2000.0,93,8.1
140,Full Spectrum Warrior,17-Jul-07,PS2,Strategy,Pandemic Studios,"100,000-200,000",THQ Nordic,9.99,6769,0.0,0.0,80.0,2005.0,74,8
141,Full Spectrum Warrior,17-Jul-07,PC,Strategy,Pandemic Studios,"100,000-200,000",THQ Nordic,9.99,21050,0.0,0.0,80.0,2004.0,80,7
142,Project: Snowblind,29-Mar-07,PS2,Action,Crystal Dynamics,"100,000-200,000",Square Enix,5.99,8623,0.0,0.0,76.0,2005.0,78,8.3
143,Project: Snowblind,29-Mar-07,PC,Shooter,Crystal Dynamics,"100,000-200,000",Square Enix,5.99,20875,0.0,0.0,76.0,2005.0,76,6.8
144,Geometry Wars: Retro Evolved,18-Jun-07,PC,Shooter,Bizarre Creations,"100,000-200,000",Activision,3.99,32027,0.0,0.0,76.0,2007.0,76,8.7
145,Dreamfall: The Longest Journey,12-Jan-07,PC,Adventure,Funcom,"100,000-200,000",Funcom,19.99,20655,0.0,0.0,75.0,2006.0,75,8.5
146,Call of Juarez,8-Nov-07,X360,Shooter,Techland,"100,000-200,000",Techland Publishing,9.99,9321,0.0,0.0,72.0,2007.0,71,7
147,Call of Juarez,8-Nov-07,PC,Shooter,Techland,"100,000-200,000",Techland Publishing,9.99,18634,0.0,0.0,72.0,2007.0,72,7.7
148,Full Spectrum Warrior: Ten Hammers,17-Jul-07,PS2,Strategy,Pandemic Studios,"100,000-200,000",THQ Nordic,9.99,14180,0.0,0.0,70.0,2006.0,71,8
149,Full Spectrum Warrior: Ten Hammers,17-Jul-07,PC,Strategy,Pandemic Studios,"100,000-200,000",THQ Nordic,9.99,31493,0.0,0.0,70.0,2006.0,70,7.5
150,Joint Task Force,27-Mar-07,PC,Strategy,Most Wanted Entertainment,"50,000-100,000",HD Publishing,7.99,20834,0.0,0.0,68.0,2006.0,68,7.7
151,CivCity: Rome,6-Apr-07,PC,Strategy,"FireFly Studios, Firaxis Games","50,000-100,000",2K,9.99,19879,0.0,0.0,67.0,2006.0,67,6.9
152,Sinking Island,4-Oct-07,PC,Adventure,White Birds Productions,"20,000-50,000",Microids,7.99,20636,0.0,0.0,68.0,2008.0,68,7
153,Silverfall,20-Mar-07,PC,Role-Playing,Monte Cristo,"20,000-50,000",Focus Home Interactive,9.99,44722,0.0,0.0,62.0,2007.0,62,6.4
154,Guild Wars: Eye of the North,31-Aug-07,PC,Role-Playing,ArenaNet®,"0-20,000",NCsoft,19.99,32704,0.0,0.0,79.0,2007.0,79,8.5
155,Left 4 Dead,17-Nov-08,X360,Shooter,Valve,"5,000,000-10,000,000",Valve,9.99,450,88.0,73.0,89.0,2008.0,89,7.9
156,Left 4 Dead,17-Nov-08,PC,Shooter,Valve,"5,000,000-10,000,000",Valve,9.99,17603,88.0,73.0,89.0,2008.0,89,9.1
157,Grand Theft Auto IV,2-Dec-08,X360,Action,"Rockstar North, Rockstar Toronto","2,000,000-5,000,000",Rockstar Games,19.99,74,83.0,49.0,90.0,2008.0,98,7.9
158,Grand Theft Auto IV,2-Dec-08,PS3,Action,"Rockstar North, Rockstar Toronto","2,000,000-5,000,000",Rockstar Games,19.99,80,83.0,49.0,90.0,2008.0,98,7.5
159,Grand Theft Auto IV,2-Dec-08,PC,Action,"Rockstar North, Rockstar Toronto","2,000,000-5,000,000",Rockstar Games,19.99,2768,83.0,49.0,90.0,2008.0,90,6.7
160,Dead Space,20-Oct-08,PS3,Shooter,EA Redwood Shores,"2,000,000-5,000,000",Electronic Arts,19.99,1008,0.0,0.0,86.0,2008.0,88,8.8
161,Dead Space,20-Oct-08,X360,Shooter,EA Redwood Shores,"2,000,000-5,000,000",Electronic Arts,19.99,1614,0.0,0.0,86.0,2008.0,89,8.7
